audio	text	duration	confidence
segment_0001.wav	IZLAYƐ́LI VÍ LƐ́Ɛ TƆN	7.056	0.5
segment_0002.wav	bɛ́ sín Adámu jí yi Esawu ví lɛ́ɛ jí	8.672	1
segment_0003.wav	Adámu ji Sɛ́ti, bɔ Sɛ́ti ji Enɔci. Enɔci ji Kenáni,	8.474	1
segment_0004.wav	bɔ Kenáni ji Maxalalɛ́li, Maxalalɛ́li ji Yɛlɛ́di.	8.672	1
segment_0005.wav	Mɛtucɛláxi, bɔ Mɛtucɛláxi	8.117	1
segment_0006.wav	Lamɛki ji Nɔwée, bɔ Nɔwée ji Sɛ́mu,	7.161	1
segment_0007.wav	Cámu, bó ji Jafɛ́ti. Jafɛ́ti ví lɛ́ɛ ɖíe:	8.291	1
segment_0008.wav	Yaváni, Tubalu, Mɛcɛ́ki	7.841	1
segment_0009.wav	Gomɛ́ɛ ví lɛ́ɛ ɖíe: Acikenázi, Difáti kpó Togáama kpó.	8.558	1
segment_0010.wav	Acikenázi, Difáti kpó Togáama kpó. Yaváni ví lɛ́ɛ ɖíe: Elica, Taasísi,	8.615	1
segment_0011.wav	Cámu ví lɛ́ɛ ɖíe: Kúci, Misilayimu, Púti kpó Kanáa kpó.	7.497	1
segment_0013.wav	Seva, Hawíla, Savuta, Hlaema kpódó Savuteka kpán.	8.716	1
segment_0014.wav	Savuta, Hlaema kpódó Savuteka kpán.	8.331	1
segment_0015.wav	Kúci wɛ lɛ́ ji Nɛmulɔ́di; Nɛmulɔ́di ɔ́	5.718	1
segment_0016.wav	Nɛmulɔ́di ɔ́ wɛ nyí ahwanfuntɔ́ syɛ́nsyɛ́n nukɔntɔn e ɖo ayǐkúngban ɔ́ jí é.	8.025	1
segment_0017.wav	Nafutwaxinu lɛ́ɛ,	8.921	1
segment_0018.wav	Patlɔ́sinu lɛ́ɛ, Kasluaxinu lɛ́ɛ kpódó	7.71	1
segment_0019.wav	Kafutɔ́ɔnu lɛ́ɛ kpó sín tɔ́gbó wɛ nyí	7.845	1
segment_0020.wav	Kanáa ji Sidɔ́ɔn, bó ji Xɛti.	7.937	1
segment_0021.wav	Sidɔ́ɔn wɛ nyí nukɔngbéví tɔn.	6.356	1
segment_0022.wav	Amɔliti lɛ́ɛ, Giigacíti lɛ́ɛ, Hivíti lɛ́ɛ,	7.8	1
segment_0023.wav	Aakíti lɛ́ɛ, Sini ví lɛ́ɛ,	7.256	1
segment_0024.wav	lɛ́ɛ kpó sín tɔ́gbó lɛ́ɛ ɔ́,	8.172	0.4286
segment_0025.wav	Alamu, Wúsi, Huli, Gɛtɛ́ɛ kpó Mɛcɛ́ki kpó. Aapakisadu ji Cɛláxi, bɔ Cɛláxi ji Ebɛ́ɛ. Vǐ súnnu we wɛ Ebɛ́ɛ ji. Mɛ ɖokpó nɔ nyí Pɛlɛ́gi, Pɛlɛ́gi sín tínmɛ wɛ nyí “Mima”, ɖó hwetɔnnu wɛ è mǎ ayǐkúngban ɔ́. Nɔví tɔn ká nɔ nyí Yokitáni. Yokitáni ji Alumɔdadi, Cɛlɛ́fu, Hasáamawɛ́ti, Yeláxi, Hadolámu, Wuzálu, Dikla, Evalu, Avimayɛ́li, Saba, Ofíi, Hawíla kpódó Yovavu kpó. Yě mɛ énɛ́ lɛ́ɛ bǐ wɛ nyí	7.068	1
segment_0027.wav	Kedáa, Adibeɛli, Mivusámu, Micima, Duma, Masa, Hadádi, Téma, Yetúu, Nafíci kpódó Kedúma kpó.	7.611	1
segment_0030.wav	Yokicáni, Mɛdani, Madiáani, Yicibaku kpó Cuwáxi kpó. Yokicáni ví lɛ́ɛ ɖíe: Saba kpó Dedáni kpó. Madiáani ví lɛ́ɛ ɖíe: Eyifa, Efɛ́ɛ, Hanɔki, Avida kpódó Ɛlidáa kpó.	8.794	1
segment_0033.wav	Yě mɛ énɛ́ lɛ́ɛ bǐ wɛ nyí	7.796	1
segment_0035.wav	Zeláxi,	8.957	1
segment_0052.wav	Omáa, Sefíi, Gayetámu, Kenázi, Timuna	7.856	1
segment_0053.wav	Timuna kpódó Amalɛ́ki kpó. Hlewuyɛ́li ví lɛ́ɛ ɖíe: Naxáti,	6.851	1
segment_0054.wav	Naxáti, Zeláxi, Camuma kpó Miziza kpó.	8.019	1
segment_0055.wav	Lotáni, Covalu, Siveɔ́ni, Esɛ́ɛ kpó Dicɔ́ni kpó.	7.816	1
segment_0056.wav	Siveɔ́ni ví lɛ́ɛ ɖíe: Aya kpó Ana.	6.832	1
segment_0059.wav	ɖíe: Aliyani, Manaxáti, Evalu, Cefí	7.424	1
segment_0060.wav	Covalu ví lɛ́ɛ ɖíe: Aliyani, Manaxáti, Evalu, Cefí kpódó Ɔnámu kpó. Siveɔ́ni ví lɛ́ɛ ɖíe: Aya kpó Ana.	8.99	1
segment_0061.wav	Hamulaní,	8.738	1
segment_0062.wav	nyǐkɔ yětɔn lɛ́ɛ ɖíe: Bɛ́la, Beɔ́ɔ ví ɔ́, Dinavanu wɛ.	7.476	1
segment_0067.wav	Bɛ́la, Beɔ́ɔ ví ɔ́, Dinavanu wɛ. Bɛ́la wá kú bɔ	7.032	1
segment_0068.wav	Bɛ́la wá kú bɔ Boslanu Yovavu Zeláxi ví ɔ́ wá ɖu axɔ́sú ɖó tɛn tɔn mɛ.	7.695	1
segment_0069.wav	Yovavu wá kú, bɔ Temaninu Hucámu wá ɖu axɔ́sú ɖó tɛn tɔn mɛ.	7.984	1
segment_0070.wav	Hucámu wá kú, bɔ Awítinu Hadádi	7.424	1
segment_0072.wav	É wɛ hu Madiáani ví lɛ́ɛ ɖo Mɔwabu gbé jí. Hadádi wá kú, bɔ Samula, Maslekanu ɔ́ ɖu axɔ́sú ɖó tɛn tɔn mɛ.	7.031	1
segment_0075.wav	Cawúlu wá kú, bɔ Baalu-Hanáni, Akubɔ́ɔ ví ɔ́ ɖu axɔ́sú ɖó tɛn tɔn mɛ.	8.76	1
segment_0076.wav	Baalu-Hanáni, Akubɔ́ɔ ví ɔ́ ɖu axɔ́sú ɖó tɛn tɔn mɛ.	6.687	1
segment_0077.wav	bɔ Hadádi Payíinu ɔ́ ɖu axɔ́sú ɖó tɛn tɔn mɛ; asi tɔn nɔ nyí	8.896	1
segment_0079.wav	Hadádi lɔ wá kú, bɔ	8.039	1
segment_0081.wav	Aliya, Yetɛ́ti, Oxoliváma, Ela, Pinɔ́nu,	7.742	1
segment_0082.wav	Kenázi, Temani, Mivusáa, Magidiɛ́li	8.971	1
segment_0083.wav	Ilamu kpó. Hɛ̌nnugán Edɔ́mu tɔn lɛ́ɛ nɛ́.	4.355	1